config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-localized,Adaptive TD,5.0,100,0.3864542651593011,0.10281776907503305,0.010281776907503305,0.6609364335952047,0.02458309955069963,0.002458309955069963,1.0
BA-localized,Adaptive TD,10.0,100,0.3675025693730731,0.10096067547470279,0.01009606754747028,0.6686298759413962,0.022967591513121412,0.0022967591513121414,1.0
BA-localized,Adaptive TD,20.0,100,0.3520657759506679,0.11129658835232467,0.011129658835232467,0.6738716528811476,0.027003119207387488,0.0027003119207387486,1.0
BA-localized,Adaptive TD,50.0,100,0.3467009249743063,0.09835975939515702,0.009835975939515702,0.6766508647482402,0.02590127496466654,0.002590127496466654,1.0
BA-localized,Adaptive TD,100.0,100,0.35987667009249746,0.09695774680409304,0.009695774680409304,0.6789575441526549,0.021806991493615084,0.0021806991493615083,1.0
BA-localized,Adaptive Katz,0.1,100,0.3904933196300102,0.12073445521027441,0.012073445521027442,0.6561059165354993,0.027616118741798062,0.0027616118741798064,1.0
BA-localized,Adaptive Katz,0.2,100,0.4024665981500513,0.10837838566518544,0.010837838566518545,0.6649378618874106,0.026247557788520864,0.0026247557788520864,1.0
BA-localized,Adaptive Katz,0.5,100,0.4058684480986639,0.10525527986484683,0.010525527986484682,0.6638261357072771,0.02633700740845876,0.002633700740845876,1.0
BA-localized,Adaptive Katz,1.0,100,0.3766906474820144,0.09439544953584891,0.009439544953584891,0.6696839087742826,0.025992878543668923,0.0025992878543668924,1.0
BA-localized,Adaptive Katz,2.0,100,0.34155190133607394,0.08783162651098866,0.008783162651098866,0.6828381324896001,0.027533084594503692,0.002753308459450369,1.0
BA-localized,Adaptive Katz,5.0,100,0.33767728674203495,0.08481569492037541,0.00848156949203754,0.707031256261809,0.02367226358816956,0.0023672263588169562,1.0
BA-localized,Adaptive Katz,10.0,100,0.31769784172661875,0.08360691402834491,0.008360691402834491,0.7139157073811775,0.020243147771985957,0.0020243147771985956,1.0
BA-localized,Adaptive Katz,20.0,100,0.2995991778006167,0.09121649254779077,0.009121649254779077,0.7190526424895625,0.023275281329075626,0.0023275281329075627,1.0
BA-localized,Adaptive Katz,50.0,100,0.2945220966084276,0.0835954133704636,0.00835954133704636,0.7232083792612329,0.0188670328519072,0.00188670328519072,1.0
BA-localized,Adaptive Katz,100.0,100,0.3064337101747174,0.08153280705598495,0.008153280705598495,0.7242484894311495,0.02083036433759373,0.002083036433759373,1.0
BA-localized,Adaptive TIA,0.1,100,0.252672147995889,0.07785013853723836,0.007785013853723837,0.6991623328081404,0.047262325096560164,0.0047262325096560165,1.0
