lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
1,BA-localized,Adaptive TD,0.05,0.05,500,0.5164644444444443,0.025582229461044454,0.001144072081817864,0.6789989476506523,0.019135026123662188,0.000855744383274859
1,BA-localized,Adaptive Katz,0.01,0.01,500,0.45728222222222226,0.02403780674451019,0.0010750033982145542,0.7174223095382047,0.01608987659863603,0.0007195611564826652
1,BA-localized,Adaptive Katz,0.02,0.02,500,0.45814666666666665,0.02202932321887083,0.0009851812843141932,0.7164094769715745,0.01529958021347555,0.0006842180276908415
1,BA-localized,Adaptive Katz,0.03,0.03,500,0.45699333333333336,0.022161348958362644,0.0009910856548798605,0.7175051477915035,0.015304688757141882,0.0006844464887089203
1,BA-localized,Adaptive Katz,0.04,0.04,500,0.4563111111111111,0.022961201844055482,0.0010268561633680316,0.717924674719987,0.015584129709972508,0.0006969434680334522
1,BA-localized,Adaptive Katz,0.05,0.05,500,0.45549111111111107,0.022364727409444663,0.0010001810157154207,0.7174960510341778,0.014986688156240331,0.0006702250694988873
1,BA-localized,Adaptive TIA,0.01,0.01,500,0.3704511111111111,0.031096924622664127,0.0013906967469492796,0.7635141421847784,0.03753197868310815,0.001678481113310057
1,BA-localized,Adaptive TIA,0.02,0.02,500,0.37003555555555556,0.04023755042491443,0.0017994779599636841,0.7648902218673765,0.04138537176314352,0.0018508100907297846
1,BA-localized,Adaptive TIA,0.03,0.03,500,0.3678755555555555,0.02858118728581209,0.0012781895529745708,0.765947082627499,0.0352648121108703,0.0015770903418732766
1,BA-localized,Adaptive TIA,0.04,0.04,500,0.3674355555555555,0.025634976492150064,0.001146431000761133,0.7670954330758893,0.03083659438221759,0.0013790544246645331
1,BA-localized,Adaptive TIA,0.05,0.05,500,0.3666066666666667,0.02600007321927012,0.0011627586227651956,0.7666336170133313,0.03256619618583789,0.001456404568802558
1,BA-localized,GNN-RL,0.01,0.01,500,0.3330888888888888,0.024465233584026694,0.00109411850758589,0.8187254586000677,0.014218694711434644,0.0006358793585216924
1,BA-localized,GNN-RL,0.02,0.02,500,0.3319777777777778,0.023642073815995663,0.0010573056836326832,0.8190998948587276,0.014404397146704724,0.0006441842238987154
1,BA-localized,GNN-RL,0.03,0.03,500,0.33263777777777775,0.02308594045980324,0.001032434643852656,0.8185887350399647,0.013957797161929813,0.000624211665404574
1,BA-localized,GNN-RL,0.04,0.04,500,0.33123555555555556,0.023385958011139192,0.0010458518366372603,0.8194850441292455,0.014212136309263152,0.0006355860578601076
1,BA-localized,GNN-RL,0.05,0.05,500,0.3302911111111111,0.024221645151127957,0.0010832249016960054,0.8190872149320569,0.015083026770201647,0.0006745334632923996
1,WS-random,Adaptive TD,0.01,0.01,500,0.7740977777777778,0.02370931618739929,0.0010603128539012192,0.5815350399822526,0.016754284604335538,0.0007492743857934486
1,WS-random,Adaptive TD,0.02,0.02,500,0.7726244444444444,0.02350684050690956,0.0010512578661939077,0.5830360941569,0.016229073288098986,0.0007257862216803072
1,WS-random,Adaptive TD,0.03,0.03,500,0.7730511111111111,0.024797786739152627,0.0011089907368057623,0.5827205300507949,0.01737086326721363,0.0007768486218668754
1,WS-random,Adaptive TD,0.04,0.04,500,0.7723511111111111,0.02452337116575397,0.0010967184992816828,0.5824970275579111,0.017110099968626575,0.0007651869326333208
1,WS-random,Adaptive TD,0.05,0.05,500,0.7722066666666667,0.023528963081778674,0.001052247217818801,0.5827117825576866,0.01641823327685862,0.0007342457135501
1,WS-random,Adaptive Katz,0.01,0.01,500,0.70626,0.015310935493267952,0.0006847258512412283,0.6162311144388143,0.012764872088040781,0.0005708624342589773
1,WS-random,Adaptive Katz,0.02,0.02,500,0.707828888888889,0.014352695105454007,0.0006418720383224734,0.6144545256774623,0.012690806280053795,0.0005675501106296303
1,WS-random,Adaptive Katz,0.03,0.03,500,0.7071577777777778,0.014409814727949388,0.0006444265054974494,0.6144739116285475,0.013063859860284466,0.0005842335739225394
1,WS-random,Adaptive Katz,0.04,0.04,500,0.7067755555555555,0.01549402098939307,0.000692913683541829,0.6148350259045512,0.013641915615489176,0.0006100850131909936
1,WS-random,Adaptive Katz,0.05,0.05,500,0.7066266666666666,0.015129511019980247,0.0006766123021401602,0.6153899778098153,0.012856310225085026,0.0005749516720623147
1,WS-random,Adaptive TIA,0.01,0.01,500,0.44995333333333337,0.043119991009871024,0.0019283846217450283,0.7578457065821963,0.04197895330260896,0.0018773558641784584
1,WS-random,Adaptive TIA,0.02,0.02,500,0.44928222222222225,0.04269253677513549,0.001909268287222252,0.759353720404924,0.04130422417195278,0.0018471810601275273
1,WS-random,Adaptive TIA,0.03,0.03,500,0.4488755555555556,0.041776770909852774,0.0018683139926973307,0.7585298985092793,0.040831067898688914,0.001826020868307558
